Date,Open,High,Low,Close,Adj_Close,Volume,Percent_Change,Adj_Percent_Change,Intraday_Range_%,Gap_%,Year,Month,Quarter,Month_Name
2009-02-01,28.850000381469727,29.899999618530273,27.020999908447266,28.016000747680664,28.016000747680664,15237810,-3.289720458103418,-3.289720458103418,10.276269393379957,-0.4107821525261325,2009,2,1,February
2009-03-01,27.110000610351562,31.3799991607666,25.690000534057617,30.305999755859375,30.305999755859375,25233990,8.173896869874596,8.173896869874596,18.775155654150225,-3.2338667659555433,2009,3,1,March
2009-04-01,30.40999984741211,35.30500030517578,29.815000534057617,34.849998474121094,34.849998474121094,35789840,14.993726505865169,14.993726505865169,15.753228153495982,0.34316667455468763,2009,4,2,April
2009-05-01,35.220001220703125,46.0,35.20000076293945,44.606998443603516,44.606998443603516,38834960,27.997131697804157,27.997131697804157,24.211445768347204,1.0617008975101903,2009,5,2,May
2009-06-01,45.29999923706055,47.125,40.0,43.540000915527344,43.540000915527344,24487820,-2.3919957973078443,-2.3919957973078443,16.364262402803636,1.5535696586561185,2009,6,2,June
2009-07-01,43.70000076293945,46.599998474121094,39.29999923706055,46.13800048828125,46.13800048828125,42047310,5.966925856970762,5.966925856970762,15.822097099579985,0.36747782280144564,2009,7,3,July
2009-08-01,46.25,50.0,43.70000076293945,46.744998931884766,46.744998931884766,25017590,1.3156149750305879,1.3156149750305879,13.477375935425076,0.24274894996196714,2009,8,3,August
2009-09-01,47.0,50.58000183105469,45.60499954223633,50.47700119018555,50.47700119018555,20982190,7.983746590173046,7.983746590173046,9.85597830995093,0.5455151865268267,2009,9,3,September
2009-10-01,50.599998474121094,51.54999923706055,47.39500045776367,47.558998107910156,47.558998107910156,27923360,-5.780856654461375,-5.780856654461375,8.736514528479528,0.24366995074077766,2009,10,4,October
2009-11-01,47.30500030517578,51.439998626708984,45.904998779296875,50.3120002746582,50.3120002746582,28679790,5.788604210083559,5.788604210083559,11.001351202885983,-0.5340688678051216,2009,11,4,November
2009-12-01,50.779998779296875,52.380001068115234,49.68899917602539,52.17100143432617,52.17100143432617,35444460,3.694945837016017,3.694945837016017,5.158041475353558,0.9301926023291095,2009,12,4,December
2010-01-01,52.17100143432617,58.0,48.0,49.69499969482422,49.69499969482422,4873600,-4.745934851602939,-4.745934851602939,20.122748891054947,0.0,2010,1,1,January
2010-02-01,49.689998626708984,54.5,47.505001068115234,49.29999923706055,49.29999923706055,76830,-0.7948495023430091,-0.7948495023430091,14.188639026643997,-0.010063523786992278,2010,2,1,February
2010-03-01,49.29999923706055,54.0,40.98500061035156,52.60499954223633,52.60499954223633,149200,6.70385467813821,6.70385467813821,24.740993257111903,0.0,2010,3,1,March
2010-04-01,53.01499938964844,54.5,50.11000061035156,52.404998779296875,52.404998779296875,102530,-0.38019345058424303,-0.38019345058424303,8.37706228777311,0.779393310483583,2010,4,2,April
2010-05-01,52.20000076293945,58.099998474121094,48.79999923706055,50.630001068115234,50.630001068115234,201520,-3.3870770967041275,-3.3870770967041275,18.36855429757697,-0.391180271219486,2010,5,2,May
2010-06-01,50.744998931884766,53.9900016784668,50.0,53.275001525878906,53.275001525878906,343890,5.224176184008389,5.224176184008389,7.489444512786378,0.22713383634896334,2010,6,2,June
2010-07-01,52.1150016784668,55.900001525878906,51.814998626708984,54.189998626708984,54.189998626708984,89610,1.7174980283869212,1.7174980283869212,7.538296738683657,-2.1773811622485395,2010,7,3,July
2010-08-01,54.0,56.29999923706055,50.099998474121094,54.45500183105469,54.45500183105469,80360,0.48902603997316163,0.48902603997316163,11.385548718141273,-0.35061566990949966,2010,8,3,August
2010-09-01,55.0,61.21500015258789,50.599998474121094,60.150001525878906,60.150001525878906,185740,10.458175563913885,10.458175563913885,17.64755013996102,1.00082297423505,2010,9,3,September
2010-10-01,61.0,63.5,52.5,60.79800033569336,60.79800033569336,7859010,1.077304727142292,1.077304727142292,18.092700317878887,1.413131259448748,2010,10,4,October
2010-11-01,61.900001525878906,64.0,57.904998779296875,59.604000091552734,59.604000091552734,22371860,-1.963880781519145,-1.963880781519145,10.225825802531881,1.812561571270269,2010,11,4,November
2010-12-01,60.0,61.97999954223633,57.70000076293945,61.880001068115234,61.880001068115234,17134830,3.8185373012994406,3.8185373012994406,6.916610706883487,0.6643847859858453,2010,12,4,December
2011-01-01,62.09000015258789,62.2859992980957,55.060001373291016,55.46799850463867,55.46799850463867,22223370,-10.361994914024752,-10.361994914024752,13.02732768372811,0.33936503045870503,2011,1,1,January
2011-02-01,55.79999923706055,56.38999938964844,52.724998474121094,54.1609992980957,54.1609992980957,31380340,-2.3563121832017586,-2.3563121832017586,6.766863542076863,0.5985446408240429,2011,2,1,February
2011-03-01,54.790000915527344,58.90999984741211,54.20500183105469,58.43299865722656,58.43299865722656,24009730,7.887593313443642,7.887593313443642,8.051953732440433,1.1613552659353468,2011,3,1,March
2011-04-01,58.70000076293945,59.900001525878906,57.599998474121094,57.95199966430664,57.95199966430664,10793320,-0.8231632878221928,-0.8231632878221928,3.9688070559788,0.4569371961879793,2011,4,2,April
2011-05-01,58.20000076293945,58.349998474121094,54.22999954223633,56.27000045776367,56.27000045776367,18877570,-2.9024006355020227,-2.9024006355020227,7.321839165395497,0.4279422626818509,2011,5,2,May
2011-06-01,56.349998474121094,57.150001525878906,53.209999084472656,56.99399948120117,56.99399948120117,14688470,1.2866518883022593,1.2866518883022593,6.913012733394532,0.14216814591545718,2011,6,2,June
2011-07-01,57.0,58.29999923706055,55.60100173950195,56.367000579833984,56.367000579833984,14241860,-1.100113884048437,-1.100113884048437,4.788258147133333,0.010528334304398708,2011,7,3,July
2011-08-01,56.500999450683594,56.86000061035156,48.41999816894531,50.900001525878906,50.900001525878906,49559620,-9.698935543345133,-9.698935543345133,16.581536715897993,0.23772574284811102,2011,8,3,August
2011-09-01,51.255001068115234,52.5,48.7130012512207,50.03799819946289,50.03799819946289,30895590,-1.6935231838406728,-1.6935231838406728,7.568245903210307,0.6974450522478609,2011,9,3,September
2011-10-01,51.2400016784668,54.75,48.20000076293945,53.8849983215332,53.8849983215332,18203770,7.688157521280714,7.688157521280714,12.155515340237239,2.402181386658287,2011,10,4,October
2011-11-01,53.599998474121094,53.95000076293945,47.599998474121094,49.06800079345703,49.06800079345703,21494590,-8.93940368956313,-8.93940368956313,12.941228878567026,-0.5289038810236344,2011,11,4,November
2011-12-01,50.20000076293945,51.84000015258789,46.28499984741211,47.005001068115234,47.005001068115234,29620560,-4.2043688187452855,-4.2043688187452855,11.817892094345444,2.30700242760526,2011,12,4,December
2012-01-01,47.29999923706055,52.79899978637695,46.75,52.5880012512207,52.5880012512207,16771080,11.877459964345306,11.877459964345306,11.502623492914251,0.6275888995680031,2012,1,1,January
2012-02-01,52.60200119018555,56.88399887084961,52.29999923706055,55.145999908447266,55.145999908447266,24215240,4.864224911318882,4.864224911318882,8.312478949333341,0.02662192635533714,2012,2,1,February
2012-03-01,54.9109992980957,55.060001373291016,50.20000076293945,53.33300018310547,53.33300018310547,20437480,-3.28763596335494,-3.28763596335494,9.11255806661161,-0.4261426227499868,2012,3,1,March
2012-04-01,53.400001525878906,53.970001220703125,51.92499923706055,52.513999938964844,52.513999938964844,9022530,-1.5356350502105487,-1.5356350502105487,3.8942034238858425,0.12562830244577505,2012,4,2,April
2012-05-01,52.9900016784668,54.0,48.369998931884766,49.87099838256836,49.87099838256836,18665100,-5.032946565617458,-5.032946565617458,11.289128452826633,0.9064282668530164,2012,5,2,May
2012-06-01,49.724998474121094,53.900001525878906,48.375,53.39899826049805,53.39899826049805,15685390,7.074251553710309,7.074251553710309,10.34663889934061,-0.2927551346120587,2012,6,2,June
2012-07-01,53.5,53.70000076293945,51.0099983215332,52.797000885009766,52.797000885009766,11464400,-1.1273570574330538,-1.1273570574330538,5.094990996297294,0.1891453824830816,2012,7,3,July
2012-08-01,52.779998779296875,54.755001068115234,52.209999084472656,52.8129997253418,52.8129997253418,16894820,0.030302555190342417,0.030302555190342417,4.818893069657212,-0.03220278695360118,2012,8,3,August
2012-09-01,53.0,57.70000076293945,52.349998474121094,57.275001525878906,57.275001525878906,16329080,8.44868086217807,8.44868086217807,9.340902918005224,0.35408000990421473,2012,9,3,September
2012-10-01,57.20000076293945,58.5,56.6609992980957,56.97080993652344,56.97080993652344,9322770,-0.5311070820627095,-0.5311070820627095,3.227970084949295,-0.13094851321054105,2012,10,4,October
