All India Consumer Price Index,,,,
Year,Month,State,Description,Rural
2025,January,ALL India,General Index (All Groups),101.81
2025,February,ALL India,General Index (All Groups),101.33
2025,March,ALL India,General Index (All Groups),101.34
2025,April,ALL India,General Index (All Groups),101.49
2025,May,ALL India,General Index (All Groups),101.78
2025,June,ALL India,General Index (All Groups),102.39
2025,July,ALL India,General Index (All Groups),103.34
2025,August,ALL India,General Index (All Groups),103.84
2025,September,ALL India,General Index (All Groups),103.80
2025,October,ALL India,General Index (All Groups),103.85
2025,November,ALL India,General Index (All Groups),104.16
2025,December,ALL India,General Index (All Groups),104.19
2026,January,ALL India,General Index (All Groups),104.59
2026,February,ALL India,General Index (All Groups),104.74
2026,March,ALL India,General Index (All Groups),105.02
2026,April,ALL India,General Index (All Groups),105.28
2026,May,ALL India,General Index (All Groups),106.11
2026,June,All India,General Index (All Groups),107.24
2026,July,ALL India,General Index (All Groups),108.34
