Date,HDFC_FLEXI_CAP,SBI_SMALL_CAP,AXIS_MIDCAP,ICICI_PRU_BLUECHIP,HDFC_SHORT_TERM_DEBT,MIRAE_ASSET_ELSS_TAX_SAVER,ICICI_PRU_EQUITY_DEBT_HYBRID,MOTILAL_OSWAL_NASDAQ100_FOF,FIXED_DEPOSIT,PPF
2019-01-01,50.0,40.0,45.0,55.0,30.0,42.0,48.0,35.0,100.0,100.0
2019-02-01,50.3954,39.5976,47.5797,54.1224,29.9867,42.6373,48.8005,34.913,100.5497,100.5732
2019-03-01,52.9664,39.0225,49.6127,54.9337,30.1804,41.6559,49.7316,29.4511,101.1025,101.1498
2019-04-01,58.2115,35.5591,50.0903,54.6025,30.4992,42.6748,49.6045,29.7864,101.6583,101.7296
2019-05-01,58.3657,36.7382,48.2224,55.5313,31.0732,42.9951,49.3692,29.7914,102.2171,102.3128
2019-06-01,58.5203,37.867,44.4711,57.883,31.5255,43.0751,49.2135,31.5505,102.7791,102.8993
2019-07-01,64.4958,38.3592,43.8918,62.8043,32.3104,45.0244,50.2332,35.7233,103.3441,103.4891
2019-08-01,68.2097,38.2207,46.7868,59.9526,32.2976,47.3973,50.0916,38.8091,103.9122,104.0824
2019-09-01,67.51,34.9559,48.051,66.5646,32.7435,46.7232,50.9781,38.722,104.4834,104.679
2019-10-01,70.5648,34.3791,45.0969,61.3462,33.0001,45.9486,54.5081,36.5753,105.0578,105.2791
2019-11-01,69.8644,33.9974,46.2036,61.6379,33.8322,45.9049,56.3876,43.0953,105.6354,105.8826
2019-12-01,69.1621,32.5375,47.9317,64.0381,33.8068,41.0266,56.3832,43.8966,106.2161,106.4896
2020-01-01,71.1514,32.5852,46.0365,65.6228,33.7722,38.3439,58.8646,44.5866,106.8,107.1
2020-02-01,64.787,33.9094,47.1119,64.5075,33.808,41.5788,58.7206,45.1796,107.3871,107.7139
2020-03-01,59.6612,38.7693,47.9397,64.6465,33.3975,45.6875,55.8138,46.4182,107.9775,108.3314
2020-04-01,58.7455,39.7283,45.2912,63.9351,33.4541,45.7058,54.7104,46.6811,108.5711,108.9524
2020-05-01,56.3921,40.9394,46.9095,62.947,33.4433,47.6849,52.2664,45.6729,109.1679,109.577
2020-06-01,58.2377,41.2458,49.1629,66.1578,33.6959,49.0923,52.2239,44.7641,109.768,110.2051
2020-07-01,56.2395,36.2841,53.0811,68.0272,34.0062,57.6012,52.7391,45.335,110.3715,110.8369
2020-08-01,52.7543,36.6762,57.2174,66.6505,34.7713,61.7207,55.7836,44.4429,110.9782,111.4722
2020-09-01,57.8124,37.2929,53.2422,70.2041,35.2748,62.1339,56.8307,43.0901,111.5883,112.1112
2020-10-01,57.9921,44.1287,50.9629,72.0266,35.319,59.8778,57.0017,44.0205,112.2018,112.7539
2020-11-01,59.1052,44.0984,53.2697,75.5783,35.265,55.6785,58.8985,43.9607,112.8186,113.4003
2020-12-01,55.4021,45.5772,55.6768,78.6656,35.6356,57.01,55.6887,48.8117,113.4388,114.0503
2021-01-01,54.6061,46.0438,58.197,76.5791,35.4509,55.53,56.5872,41.3178,114.0624,114.7041
2021-02-01,55.7843,42.8977,72.6067,75.4988,36.2347,52.1671,58.3746,44.7949,114.6894,115.3616
2021-03-01,53.1268,46.8365,76.139,78.9931,36.8313,51.1104,56.4278,49.0043,115.3199,116.0229
2021-04-01,55.0446,49.8686,82.4495,82.1495,36.9119,48.92,58.8176,43.2784,115.9539,116.688
2021-05-01,54.084,53.232,88.3756,83.0369,36.5949,53.8613,59.9413,42.9785,116.5913,117.3569
2021-06-01,54.0565,50.5511,93.1063,84.4639,37.2527,57.0473,59.7822,42.6021,117.2323,118.0297
2021-07-01,53.1099,56.1032,92.6342,90.4422,37.4486,57.7848,61.4322,39.4259,117.8767,118.7063
2021-08-01,59.3284,51.3635,98.1971,89.0352,38.0841,62.9994,66.0324,38.0632,118.5248,119.3868
2021-09-01,60.2035,54.1012,94.9754,92.3327,37.7962,64.0932,66.9953,35.9431,119.1763,120.0711
2021-10-01,57.6436,62.9955,94.9455,92.5569,37.8363,62.0799,68.1007,40.4762,119.8315,120.7594
2021-11-01,61.1372,59.4687,93.4851,92.7154,38.0745,67.8214,67.8332,43.4818,120.4902,121.4517
2021-12-01,57.9905,57.8873,95.2618,98.5117,38.3279,70.6254,66.8022,47.6381,121.1526,122.1479
2022-01-01,59.5532,59.0187,109.9664,103.4265,38.4181,67.7612,69.0269,50.5281,121.8186,122.8481
2022-02-01,54.0747,57.7061,99.0626,108.5297,38.8654,67.9951,67.9653,47.6546,122.4883,123.5523
2022-03-01,50.9731,52.2361,104.5749,116.3508,38.749,65.8086,68.7401,46.774,123.1617,124.2606
2022-04-01,52.3132,53.1446,95.8195,117.8328,38.9434,61.9581,68.4338,48.9215,123.8388,124.9729
2022-05-01,55.2425,49.905,94.4236,122.9308,39.2274,65.7665,70.0187,45.8501,124.5195,125.6893
2022-06-01,56.6175,52.1734,101.9827,122.6156,39.6473,73.169,71.3467,48.6064,125.2041,126.4098
2022-07-01,57.1355,49.5095,103.8122,125.8942,40.1394,68.8279,74.1495,48.5855,125.8924,127.1344
2022-08-01,57.077,55.4519,98.4873,126.6188,39.9994,71.7595,73.7498,48.1497,126.5844,127.8632
2022-09-01,53.3326,53.1438,95.5995,128.676,39.7179,70.2909,73.8636,51.0379,127.2803,128.5962
2022-10-01,52.0531,52.6298,100.8805,133.7272,40.4056,69.4495,72.466,53.235,127.98,129.3333
2022-11-01,51.5444,56.2614,97.8304,130.2469,40.7745,68.2383,72.213,52.8043,128.6836,130.0747
2022-12-01,55.3315,52.1749,100.4878,144.367,40.765,66.0852,73.6735,57.4754,129.391,130.8204
2023-01-01,57.2315,53.6567,102.1765,139.3576,41.5674,67.1335,75.971,54.3819,130.1023,131.5703
2023-02-01,52.5838,59.1942,99.5751,133.182,41.8688,65.1305,74.6577,57.3158,130.8175,132.3245
2023-03-01,54.3331,53.3501,113.915,141.8732,42.5581,66.9148,77.2287,60.3249,131.5367,133.0831
2023-04-01,54.0273,54.707,119.8923,148.7302,42.849,67.6328,80.9717,60.0338,132.2598,133.846
2023-05-01,52.8583,56.3836,106.8569,154.7677,43.8815,67.6954,82.6938,62.1677,132.9869,134.6132
