Category,AMC,Scheme Code,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Scheme Name,Plan,Option,Net Asset Value,Date
Close Ended Schemes(ELSS),Bank of India Mutual Fund,141950,INF761K01DS3,-,BANK OF INDIA MID CAP TAX FUND SERIES 1,Direct Plan,Growth,31.39,25-Aug-2026
Close Ended Schemes(ELSS),Bank of India Mutual Fund,141949,INF761K01DT1,-,BANK OF INDIA MID CAP TAX FUND SERIES 1,Direct Plan,IDCW,31.39,25-Aug-2026
Close Ended Schemes(ELSS),Bank of India Mutual Fund,141952,INF761K01DU9,-,BANK OF INDIA MID CAP TAX FUND SERIES 1,Regular Plan,Growth,30.24,25-Aug-2026
Close Ended Schemes(ELSS),Bank of India Mutual Fund,141951,INF761K01DV7,-,BANK OF INDIA MID CAP TAX FUND SERIES 1,Regular Plan,IDCW,30.24,25-Aug-2026
Close Ended Schemes(ELSS),Bank of India Mutual Fund,144315,INF761K01EL6,-,BANK OF INDIA MID CAP TAX FUND Series 2,Direct Plan,Growth,36.59,25-Aug-2026
Close Ended Schemes(ELSS),Bank of India Mutual Fund,144309,INF761K01EK8,-,BANK OF INDIA MID CAP TAX FUND Series 2,Direct Plan,IDCW,36.59,25-Aug-2026
Close Ended Schemes(ELSS),Bank of India Mutual Fund,144314,INF761K01EN2,-,BANK OF INDIA MID CAP TAX FUND Series 2,Regular Plan,Growth,35.13,25-Aug-2026
Close Ended Schemes(ELSS),Bank of India Mutual Fund,144316,INF761K01EM4,-,BANK OF INDIA MID CAP TAX FUND Series 2,Regular Plan,IDCW,35.14,25-Aug-2026
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,142136,INF109KC1077,-,ICICI Prudential Long Term Wealth Enhancement Fund,,,29.95,25-Aug-2026
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,142134,INF109KC1093,-,ICICI Prudential Long Term Wealth Enhancement Fund,,,31.36,25-Aug-2026
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,142133,INF109KC1101,-,ICICI Prudential Long Term Wealth Enhancement Fund,,,31.36,25-Aug-2026
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,142135,INF109KC1085,-,ICICI Prudential Long Term Wealth Enhancement Fund,,,29.95,25-Aug-2026
