Date,NIFTY50,RELIANCE,TCS,INFY,HDFCBANK,ICICIBANK,SBIN,ITC,SUNPHARMA,MARUTI,BHARTIARTL,LT
2019-01-01,10900.00,1120.00,1950.00,680.00,1020.00,355.00,295.00,280.00,430.00,6900.00,320.00,1450.00
2019-02-01,11232.98,1204.62,1863.58,687.72,1068.39,341.69,311.06,283.02,420.64,7466.60,317.56,1548.75
2019-03-01,11282.84,1165.20,1930.71,654.94,1054.05,343.53,309.33,267.56,405.86,7240.58,326.37,1569.71
2019-04-01,11698.67,1154.19,1928.21,680.76,1076.19,325.60,321.16,252.88,414.26,8024.05,336.09,1524.25
2019-05-01,12566.63,1138.62,2021.84,696.41,1086.12,318.19,309.92,250.53,395.11,9457.58,378.01,1605.86
2019-06-01,12573.58,1049.37,2093.67,678.73,1101.27,298.49,314.97,273.86,408.26,9269.95,380.46,1660.87
2019-07-01,12580.55,1081.46,2107.39,688.91,1064.56,342.29,314.34,272.32,373.45,9034.16,392.57,1770.81
2019-08-01,13544.65,1112.05,2037.58,680.22,1075.09,347.25,346.48,254.77,399.96,10042.30,414.00,1858.50
2019-09-01,14111.98,1125.07,1902.88,692.26,1114.29,336.22,356.59,253.52,414.81,11260.96,424.56,2000.16
2019-10-01,13986.15,1121.05,1878.52,728.34,1216.90,344.98,369.30,251.93,424.86,10915.86,417.47,1955.43
2019-11-01,14440.13,1036.34,1984.37,810.44,1293.58,346.72,361.55,222.28,453.80,10656.88,428.33,2138.92
2019-12-01,14314.87,1020.50,2027.37,759.91,1468.16,346.07,351.95,223.28,504.21,10504.28,465.90,2186.08
2020-01-01,14189.38,1009.89,1920.00,874.08,1419.66,364.23,344.02,222.34,539.54,9618.97,440.81,2503.64
2020-02-01,12836.45,860.89,1736.10,696.10,1332.10,343.11,317.34,205.51,434.24,8046.13,399.51,2150.70
2020-03-01,12616.20,906.00,1881.33,732.86,1426.62,353.01,326.38,238.26,427.90,7930.55,406.08,2536.69
2020-04-01,12494.47,988.33,1908.60,806.96,1705.59,362.16,354.07,266.61,437.90,7945.67,468.10,2725.60
2020-05-01,12969.21,1184.56,2043.52,872.16,1729.92,378.71,439.20,278.58,465.29,8375.61,450.49,2781.60
2020-06-01,13219.09,1273.50,2177.15,892.38,1751.57,348.18,497.71,279.37,508.63,8994.84,462.21,2867.73
2020-07-01,13522.82,1309.24,2072.89,890.64,1709.38,320.10,490.41,319.25,492.25,10066.10,480.04,2840.36
2020-08-01,13166.79,1317.89,2133.69,873.68,1534.40,353.40,541.90,322.47,502.17,9441.41,539.48,2943.13
2020-09-01,12561.51,1179.97,2219.55,852.05,1503.50,397.11,530.66,325.00,485.16,10159.41,544.05,3067.91
2020-10-01,13462.22,1191.40,2372.40,906.70,1454.49,395.66,459.82,326.93,472.65,10061.09,531.11,2992.32
2020-11-01,13474.23,1209.57,2531.91,936.47,1479.05,415.43,430.46,332.49,439.79,10077.93,609.52,3017.42
2020-12-01,13647.07,1430.49,2381.44,907.57,1519.89,428.91,377.71,332.50,420.80,10614.29,560.78,3469.80
2021-01-01,13013.16,1429.21,2291.69,968.72,1699.00,527.91,371.46,325.59,392.80,9870.17,490.85,3890.95
2021-02-01,12858.14,1473.42,2378.26,997.51,1805.19,573.74,375.59,319.23,374.70,10186.98,511.91,4034.71
2021-03-01,13045.93,1486.91,2467.94,1059.13,1763.89,576.06,430.10,321.00,401.86,10357.83,501.50,4083.96
2021-04-01,12578.34,1396.26,2561.17,1112.13,1693.40,548.77,445.07,314.79,383.93,10772.12,474.66,4154.42
2021-05-01,12899.35,1518.45,3161.27,1068.96,1754.56,501.60,442.07,306.14,451.07,11046.30,503.92,4354.43
2021-06-01,12716.73,1610.85,3290.22,1044.35,1645.92,514.33,475.04,309.95,468.37,13161.60,518.74,4133.07
2021-07-01,12694.22,1713.12,3526.40,1104.46,1835.37,496.20,406.31,308.28,477.76,12657.11,506.11,4109.27
2021-08-01,12513.97,1635.39,3744.04,1158.38,1974.73,458.89,417.59,334.27,458.84,12262.32,470.85,3750.63
2021-09-01,13622.48,1808.12,3913.09,1169.31,1940.98,445.81,446.77,295.59,482.18,11804.24,505.35,3880.46
2021-10-01,13752.11,1672.92,3889.43,1190.28,1781.99,421.31,403.73,314.09,470.71,11416.66,534.44,4075.60
2021-11-01,13309.29,1756.21,4087.84,1299.93,1935.73,474.69,444.20,336.29,478.40,10979.33,537.77,3997.04
2021-12-01,13897.68,2041.30,3967.66,1267.58,1940.01,508.16,460.06,305.93,559.71,11983.03,615.75,4440.65
2022-01-01,13361.78,1938.66,3959.78,1324.37,2094.02,514.11,450.28,302.98,561.74,13289.94,580.91,4163.36
2022-02-01,13610.70,1891.46,3901.20,1322.26,1935.04,571.68,476.78,299.63,605.81,12839.99,531.71,3847.33
2022-03-01,12700.91,1925.13,3958.46,1318.91,1888.44,581.52,570.87,281.63,587.06,12182.46,514.37,3938.56
2022-04-01,12158.31,1885.77,4510.67,1424.87,1905.10,557.30,584.35,273.03,591.27,12651.28,519.42,4238.12
2022-05-01,12378.80,1728.36,4136.03,1514.04,1926.31,621.40,601.13,260.39,660.95,12238.65,534.68,4739.98
2022-06-01,12882.20,1755.66,4330.62,1607.63,1895.37,650.90,586.41,285.81,643.33,12852.65,532.96,4655.47
2022-07-01,13102.32,1659.80,4023.81,1758.68,1977.98,616.85,555.52,301.38,720.87,13101.26,552.59,5019.17
2022-08-01,13172.51,1729.94,3967.05,1779.80,1881.39,616.89,597.00,323.08,757.85,11855.54,515.08,5056.93
2022-09-01,13144.19,1650.39,4241.53,1874.80,1882.68,590.66,565.29,337.12,740.39,13264.74,574.20,5053.71
2022-10-01,12506.43,1841.84,4299.85,1859.59,1911.32,547.61,573.87,321.23,775.00,15099.04,578.43,5384.48
2022-11-01,12270.12,1772.41,4107.83,1916.82,1982.79,587.89,559.05,315.31,827.31,14545.42,631.00,5657.01
2022-12-01,12165.05,1756.29,3999.00,1922.15,2079.30,671.79,585.15,325.28,865.45,14232.32,653.83,5192.22
2023-01-01,12823.85,1870.46,4185.70,1954.21,1971.59,622.21,605.83,308.54,797.72,14591.23,682.64,5734.50
2023-02-01,13134.09,1749.50,4071.61,2047.72,1827.95,652.74,661.26,321.81,771.97,15009.64,718.09,6296.50
2023-03-01,12353.94,1795.16,4160.37,1969.52,1977.37,633.97,642.62,320.31,768.02,15790.65,749.28,6122.07
2023-04-01,12642.82,1972.74,4213.48,2259.84,2030.93,622.18,635.86,316.73,771.77,18243.13,792.02,6332.68
2023-05-01,12572.89,1801.56,4115.44,2148.93,1965.87,606.53,596.57,330.32,807.29,18112.99,876.23,6589.66
2023-06-01,12356.75,1843.55,4648.13,2017.84,2158.70,581.16,582.62,340.01,823.13,17226.03,899.17,6760.75
2023-07-01,12793.53,1895.56,4853.61,2187.80,2190.98,590.08,605.19,336.43,769.07,15736.14,954.65,6603.51
